year,count
2002-1,11984
2002-2,9443
2002-3,88416
2002-4,11198
2002-5,10144
2002-6,13490
2002-7,17883
2002-8,12437
2002-9,11016
2002-10,14465
2002-11,16387
2002-12,18414
2003-1,16150
2003-2,10053
2003-3,10807
2003-4,15624
2003-5,10657
2003-6,11791
2003-7,12736
2003-8,12265
2003-9,19919
2003-10,24531
2003-11,41122
2003-12,22354
2004-1,15010
2004-2,11029
2004-3,15363
2004-4,12530
2004-5,12526
2004-6,12525
2004-7,9608
2004-8,9884
2004-9,10150
2004-10,10435
2004-11,12629
2004-12,7753
2005-1,84858
2005-2,75467
2005-3,14068
2005-4,14557
2005-5,9781
2005-6,11650
2005-7,6845
2005-8,11878
2005-9,12323
2005-10,8990
2005-11,10644
2005-12,6510
2006-1,9853
2006-2,11090
2006-3,9541
2006-4,9869
2006-5,22164
2006-6,31998
2006-7,8998
2006-8,9772
2006-9,22211
2006-10,51190
2006-11,10370
2006-12,27857
2007-1,60799
2007-2,68886
2007-3,17065
2007-4,12118
2007-5,18611
2007-6,9507
2007-7,12617
2007-8,11431
2007-9,8737
2007-10,14015
2007-11,12224
2007-12,9761
2008-1,11347
2008-2,13609
2008-3,14672
2008-4,41770
2008-5,11111
2008-6,12113
2008-7,13146
2008-8,12705
2008-9,12422
2008-10,14327
2008-11,10909
2008-12,12395
2009-1,12610
2009-2,15125
2009-3,13967
2009-4,32736
2009-5,26443
2009-6,20307
2009-7,18435
2009-8,12479
2009-9,11842
2009-10,13111
2009-11,13874
2009-12,11528
2010-1,13269
2010-2,10555
2010-3,13433
2010-4,16700
2010-5,17283
2010-6,19973
2010-7,18851
2010-8,18335
2010-9,22083
2010-10,30806
2010-11,21349
2010-12,18202
2011-1,13606
2011-2,25874
2011-3,28886
2011-4,37224
2011-5,19475
2011-6,15165
2011-7,32279
2011-8,18311
2011-9,39147
2011-10,19555
2011-11,14959
2011-12,12915
2012-1,15364
2012-2,13118
2012-3,20473
2012-4,15924
2012-5,16659
2012-6,9564
2012-7,18063
2012-8,22372
2012-9,13896
2012-10,12634
2012-11,15039
2012-12,14928
2013-1,11949
2013-2,33546
2013-3,19801
2013-4,22230
2013-5,135599
2013-6,58649
2013-7,24289
2013-8,17597
2013-9,42209
2013-10,77287
2013-11,64794
2013-12,50075
2014-1,124169
2014-2,26194
2014-3,26268
2014-4,22850
2014-5,114765
2014-6,129495
2014-7,18994
2014-8,18153
2014-9,39437
2014-10,20722
2014-11,15551
2014-12,19648
2015-1,23187
2015-2,25038
2015-3,25083
2015-4,55295
2015-5,21480
2015-6,12362
2015-7,15817
2015-8,20439
2015-9,26016
2015-10,17021
2015-11,50392
2015-12,176325
2016-1,27971
2016-2,26902
2016-3,20363
2016-4,21407
2016-5,28536
2016-6,15790
2016-7,39546
2016-8,162190
2016-9,22516
2016-10,26217
2016-11,15901
2016-12,14917
2017-1,47288
2017-2,36862
2017-3,18793
2017-4,41891
2017-5,19347
2017-6,20911
2017-7,21761
2017-8,49254
2017-9,34128
2017-10,28689
2017-11,64720
2017-12,32840
2018-1,40988
2018-2,68842
2018-3,31057
2018-4,24938
2018-5,20258
2018-6,37249
2018-7,29925
2018-8,34921
2018-9,20636
2018-10,35522
2018-11,37795
2018-12,38588
2019-1,32114
2019-2,28116
2019-3,56877
2019-4,112914
2019-5,44597
